"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001881","receptor recycling","33/7994","44/14868",0.00309809816054233,0.0301080646969968,0.0237894422442467,"ALS2/EHD3/VAMP3/PSEN1/EPS15/CHMP5/KIF16B/PEX12/BVES/PLEKHA3/RAB29/ECE1/OPTN/ARFGEF2/USP9X/PEX6/PEX1/LDLR/SORL1/AP1AR/PEX5/PEX10/CAMLG/LMTK2/PEX2/TBC1D16/PCSK9/PTPN2/SCRIB/ANXA2/ARAP1/PTPN1/INPP5F",33
"GO:0006305","DNA alkylation","33/7994","44/14868",0.00309809816054233,0.0301080646969968,0.0237894422442467,"KMT2E/ARID4B/MBD3/BAZ2A/ZMPSTE24/ATRX/PRMT5/METTL4/CTCF/EZH2/RLF/KMT2A/DNMT3A/HELLS/MTRR/DNMT1/MBD2/MBD1/PARP1/MTA2/SMARCA5/N6AMT1/MIS18A/EOMES/GATAD2A/MECP2/PPM1D/ATF7IP/BEND3/EHMT1/WT1/MPHOSPH8/EHMT2",33
"GO:0006306","DNA methylation","33/7994","44/14868",0.00309809816054233,0.0301080646969968,0.0237894422442467,"KMT2E/ARID4B/MBD3/BAZ2A/ZMPSTE24/ATRX/PRMT5/METTL4/CTCF/EZH2/RLF/KMT2A/DNMT3A/HELLS/MTRR/DNMT1/MBD2/MBD1/PARP1/MTA2/SMARCA5/N6AMT1/MIS18A/EOMES/GATAD2A/MECP2/PPM1D/ATF7IP/BEND3/EHMT1/WT1/MPHOSPH8/EHMT2",33
"GO:0030521","androgen receptor signaling pathway","33/7994","44/14868",0.00309809816054233,0.0301080646969968,0.0237894422442467,"KDM1A/KDM5D/RNF14/PLPP1/RHOA/PIAS2/DNAJA1/SIRT1/MAPK1/DDX17/EP300/SFRP1/KDM4C/ZMIZ1/UBE3A/FOXP1/KDM3A/PARK7/HDAC1/ARID1A/PKN1/PMEPA1/SMARCA4/RNF6/NCOR1/ZDHHC7/PRMT2/FOXH1/HEYL/TRIM68/AR/ZBTB7A/NCOR2",33
"GO:0035329","hippo signaling","33/7994","44/14868",0.00309809816054233,0.0301080646969968,0.0237894422442467,"TEAD3/WWTR1/MAP2K3/WWC3/TEAD2/MARK3/STK4/STK3/MAPK14/ARRDC3/WWC1/AMOTL2/MOB1A/CIT/AMOT/LATS1/YAP1/FRMD6/VGLL4/LIMD1/LATS2/WWC2/SAV1/TIAL1/SHANK2/AMOTL1/DCHS1/MOB1B/NF2/TEAD1/FAT4/SRC/TEAD4",33
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","45/7994","63/14868",0.00311308034922894,0.0302044722664213,0.0238656172600709,"BRCA1/MBTPS2/MRE11/FOXN3/CHFR/CDC14B/ORC1/UIMC1/CLSPN/CDC6/RBBP8/NBN/FZR1/CCNG1/RAD50/MIIP/SYF2/CDKN1A/VPS4A/TAOK3/RINT1/BARD1/NABP2/TICRR/MBTPS1/DTL/INIP/ATM/CHEK1/TAOK2/RAD17/DONSON/NAE1/BRSK1/TAOK1/MRNIP/TOPBP1/RAD21/ZFYVE19/PLK1/AVEN/USP47/NABP1/FOXO4/BLM",45
"GO:0007492","endoderm development","53/7994","76/14868",0.00324253583399799,0.031358527263316,0.0247774767559106,"LAMA3/ITGB5/MMP2/KIF16B/TNRC6A/LAMB1/MMP15/BMPR1A/DKK1/COL12A1/EPB41L5/ITGA4/FN1/HDAC1/MMP8/DUSP1/DUSP4/INHBA/BMP4/COL5A1/CDC73/COL4A2/LAMC1/GATA4/RTF1/DUSP5/ITGAV/SMAD4/COL6A1/COL8A1/NOTCH1/HMGA2/SSBP3/MMP14/DUSP2/ITGA5/EOMES/LEO1/SMAD3/CTNNB1/MAP2K1/ONECUT1/BPTF/SMAD2/GRB2/SETD2/EXT1/MED12/ZFP36L1/LAMB3/CTR9/COL5A2/HSBP1",53
"GO:0048661","positive regulation of smooth muscle cell proliferation","53/7994","76/14868",0.00324253583399799,0.031358527263316,0.0247774767559106,"NOX1/MNAT1/FGFR2/NOTCH3/MMP2/JAK2/HMOX1/SMPD3/CCN4/TGFB1/BMPR1A/RPS6KB1/HBEGF/PDGFRB/GNAI2/FOXP1/STAT1/IGFBP5/ID2/HDAC1/MEF2D/MFN2/PIK3CA/EREG/BMP4/DNMT1/MAP3K7/MDM2/THBS1/FGF2/IGF1R/CDH13/AKT1/GJA1/ADAMTS1/LDLRAP1/IL6R/DDR2/HPGD/ITGA2/FRS2/ZNF143/RBPMS2/PTAFR/PDGFD/S1PR1/JUN/ERN1/IRAK1/NF1/SRC/MAP3K5/ITGB3",53
"GO:0001823","mesonephros development","64/7994","94/14868",0.00324796795310379,0.0313602342656478,0.0247788255185691,"HOXA11/SOX8/CRLF1/PKD1/FOXC1/FGFR2/DLG1/ARG2/WNT11/SIX4/SMAD7/SALL1/EYA1/CALB1/SFRP1/GLI3/LZTS2/ZBTB16/SIM1/SMAD5/HES1/SDC1/PKD2/CAT/BMP4/SOX9/HS3ST3B1/GZF1/BMP2/SIX1/SMO/LAMA5/RARA/WNT2B/GDF11/MYC/FGF2/GREB1L/SMAD4/OSR1/SLIT2/GPC3/HS2ST1/HS3ST3A1/WNT4/KIF26B/BMPER/ILK/DCHS1/GREM1/SMAD3/CTNNB1/NPNT/SMAD1/BCL2/SMAD2/MAGED1/WT1/ROBO2/PBX1/PTCH1/LGR4/FMN1/HOXB7",64
"GO:0050769","positive regulation of neurogenesis","138/7994","219/14868",0.00332398447540829,0.0320423511547032,0.0253177900949813,"PLXND1/KDM1A/SOX8/PAFAH1B1/CDKL5/RUFY3/PRKCH/TNFRSF1B/VCAN/STAU2/CUL7/CDON/NTN1/SPEN/ASPM/MAP3K13/WDR62/PLXNA2/NRDC/TP73/XRCC5/DCT/RAB21/NRP1/PRMT5/NIN/HIF1A/DICER1/ADNP/SLC7A5/EEF2K/FZD3/ANKRD27/NUMBL/TGFB1/MEGF8/PTN/PTPRZ1/GLI3/EIF4G2/CAPRIN2/NR2E1/SRF/MAN2A1/SEMA5A/DBN1/HES1/PLXNA1/FN1/STK25/ID2/EPHA4/HDAC1/OBSL1/MYRF/BMP2/MAP2K2/MACF1/LIF/SMO/MAP1B/SERPINF1/BCAN/EPHB2/NUMB/IL6ST/CAPRIN1/SERPINE2/SKIL/TLR2/ZNF365/SEMA7A/FGF2/GOLGA4/SLIT2/TIAM2/NOTCH1/TENM4/ITGB1/PTPRD/TIAM1/NPTN/LRP8/BRAF/FAIM/ACE/TBC1D24/DISC1/PRKCI/PLXNB1/SPINT1/CTNNB1/MAP2K1/MECP2/RGS14/IL1RAPL1/ROBO1/LPAR3/MAP6/RELA/DAG1/HAP1/LIG4/FZD4/DHX36/FBXW8/CLCF1/BAIAP2/PLAG1/AMIGO1/IST1/TRAK1/EFNA5/SS18L1/ROBO2/MAPT/NAP1L1/TRPV2/SEMA4D/RELN/MME/PLXNB2/HDAC2/ZNF335/SMURF1/PLXNB3/MTOR/L1CAM/TGM2/BMPR2/ETV5/TWF2/SHANK3/LYN/CUX1/ZNF488/ARMCX5-GPRASP2/CYFIP1",138
"GO:0000956","nuclear-transcribed mRNA catabolic process","82/7994","124/14868",0.0033844306201966,0.0324362128527349,0.0256289940933731,"UPF1/CSDE1/SAMD4A/EDC4/MRTO4/RC3H2/MLH1/TNRC6C/TUT7/DIS3/XRN2/TNRC6A/AGO1/TNRC6B/GSPT1/EIF3E/SMG9/MTPAP/CASC3/DCPS/CNOT2/HBS1L/TENT4A/CNOT6/XRN1/NCBP2/SMG7/EXOSC8/ETF1/TENT4B/EXOSC9/AGO2/CNOT1/ZFP36/EXOSC2/CTIF/TUT4/DHX34/SYNCRIP/CAPRIN1/PAN2/DHX9/RC3H1/NCBP1/SSB/CNOT6L/PARN/EIF4A3/NT5C3B/DIS3L2/ZCCHC7/TNKS1BP1/ATM/NOCT/DCP1B/UPF2/NBAS/PAN3/CNOT8/SMG1/CNOT11/BTG2/TENT2/EXOSC10/PAIP1/DCP2/PDE12/DHX36/EXOSC4/SAMD4B/CNOT10/ZFP36L1/SECISBP2/NANOS1/PNRC2/GSPT2/CNOT7/SMG5/NBDY/EXOSC6/RBM8A/DCP1A",82
"GO:0048660","regulation of smooth muscle cell proliferation","82/7994","124/14868",0.0033844306201966,0.0324362128527349,0.0256289940933731,"NOX1/MNAT1/FGFR2/NOTCH3/XRCC5/MEF2C/MMP2/JAK2/HMOX1/SMPD3/CCN4/TGFB1/VIPR2/BMPR1A/RPS6KB1/PPARGC1A/CDKN1B/SOD2/HBEGF/PDGFRB/GNAI2/FOXP1/STAT1/IGFBP5/ID2/HDAC1/MEF2D/MFN2/TNFAIP3/GNA13/PIK3CA/CDKN1A/EREG/BMP4/BMP2/CNN1/DNMT1/PPARG/MAP3K7/MDM2/THBS1/FGF2/TPM1/IGF1R/CDH13/AKT1/IGFBP3/TCF7L2/PDCD4/GJA1/ADAMTS1/LDLRAP1/IL6R/DDR2/HPGD/ITGA2/NOS3/NDRG2/FRS2/ZNF143/RBPMS2/CTNNB1/PTAFR/NPR1/PDGFD/S1PR1/PTEN/EFEMP2/TRIB1/JUN/ERN1/RBM10/IRAK1/PRKG1/XRCC6/NF1/SRC/MAP3K5/BMPR2/TAFA5/PRKDC/ITGB3",82
"GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","48/7994","68/14868",0.00339064200282823,0.0324362128527349,0.0256289940933731,"KDM1A/CRY1/BRCA1/KDM5D/RNF14/RHOA/PIAS2/SIRT1/EP300/VPS18/SFRP1/KDM4C/UFSP2/CNOT2/FOXP1/PARK7/HDAC1/UFM1/PKN1/CNOT1/MED1/SMARCA4/RNF6/FOXA1/LATS1/WBP2/CLOCK/YAP1/NCOR1/PARP1/SKP2/PAK1/PRMT2/VPS11/FOXH1/HEYL/TRIM68/KMT2D/AR/CYP7B1/ZBTB7A/CALR/NCOR2/STRN3/SRC/KANK2/LBH/PHB2",48
"GO:1902017","regulation of cilium assembly","48/7994","68/14868",0.00339064200282823,0.0324362128527349,0.0256289940933731,"MARK4/CDKL5/FUZ/IFT88/MAP4/MPHOSPH9/SDCCAG8/SYNE2/GDI2/ATG5/GSK3B/CYLD/RAB11FIP3/CCP110/RAB11A/TBC1D30/MAK/CCDC88A/WRAP73/SEPTIN7/WDR44/DZIP1/YAP1/DYNC2LI1/TCHP/BBS4/AKT1/EVI5L/WDPCP/ATG3/TBC1D7/DCDC2/CENPJ/ARHGAP35/ENTR1/CEP120/TAPT1/HAP1/CEP135/RABEP2/MAPK15/CEP97/LIMK2/SEPTIN9/KIF24/IFT140/HTT/LPAR1",48
"GO:0006413","translational initiation","76/7994","114/14868",0.00340185410216678,0.0324362128527349,0.0256289940933731,"DHX33/CSDE1/TPR/EIF4B/FECH/DHX29/EIF2B3/NCK2/EIF4G3/DDX1/BZW1/RPS5/EIF3I/MTIF2/PPP1R15A/EIF3L/EIF3D/ALKBH1/EIF5/FMR1/DNAJC3/MTFMT/EIF3J/EIF3E/EIF3B/EIF3A/RPS6KB1/EIF4G2/EIF2B1/NCBP2/EIF4G1/PAIP2/COPS5/KHDRBS1/AGO2/MIF4GD/EIF2AK4/EIF2S3/HABP4/SH3BGRL/EIF2S1/CTIF/EIF4E2/BZW2/NCBP1/RPL13A/EIF2D/EIF2B5/RPS3A/EIF3H/EIF3M/YTHDF1/CDC123/UHMK1/IMPACT/LARP1/EIF4A2/NCK1/EIF5B/SLBP/ABCE1/METTL3/ZNF598/EIF2AK3/PAIP1/PPP1CA/EIF1AX/EIF3F/EIF2S3B/NPM1/YTHDF3/YTHDF2/MTOR/DDX3X/EIF6/C8orf88",76
"GO:0010833","telomere maintenance via telomere lengthening","56/7994","81/14868",0.00340833005843217,0.0324362128527349,0.0256289940933731,"MRE11/RFC1/RAD51/XRCC5/MAP3K4/MAPKAPK5/HNRNPC/TINF2/MAPK1/TELO2/ACD/TNKS2/STN1/PTGES3/RAD50/XRN1/CCT4/NEK2/DCLRE1B/TCP1/TENT4B/HNRNPA2B1/POT1/GNL3L/DKC1/RPA1/TERF2/NAT10/CCT7/PIF1/PARN/PARP1/NAF1/CCT6A/HMBOX1/TERF1/TNKS1BP1/ATM/CCT5/NEK7/CCT8/CCT3/CCT2/TERF2IP/CTNNB1/EXOSC10/DCP2/TNKS/DHX36/ATR/ERCC4/CTC1/MAPK15/SLX4/SRC/SMG5",56
"GO:0050688","regulation of defense response to virus","56/7994","81/14868",0.00340833005843217,0.0324362128527349,0.0256289940933731,"TSPAN6/RNF216/FOXP3/ATG5/GRAMD4/NT5C2/ITCH/ZMPSTE24/MAVS/TREM2/RNF125/RIOK3/PTPRS/C1QBP/DHX58/HSPA8/IL23A/TRIM38/ERBIN/CSNK1A1/STAT1/TNFAIP3/TRIM6/EIF2AK4/SEC14L1/TRAF3/UBQLN1/DHX9/PPM1B/PARP9/HERC5/TARBP2/ATG12/TKFC/FBXL2/TOMM70/TRIM11/ZDHHC12/NLRX1/DTX3L/IL15/CGAS/TRIM44/SIN3A/ELMOD2/NPLOC4/IFNLR1/ZDHHC11/ILRUN/PCBP2/GPATCH3/TRAF3IP1/CPTP/IRGM/APOBEC3G/RAB7B",56
"GO:1902117","positive regulation of organelle assembly","56/7994","81/14868",0.00340833005843217,0.0324362128527349,0.0256289940933731,"MARK4/FUZ/IFT88/ARHGEF5/MAPK9/RHOA/FSCN1/GSK3B/SH3GLB1/CCP110/ATG2A/CNOT2/CNOT6/SNX4/CCDC88A/RAB3GAP1/SDC1/WRAP73/RAB3GAP2/VPS4B/SEPTIN7/STIL/CNOT1/DZIP1/CAPRIN1/PAN2/NUMA1/SDCBP/G3BP2/CNOT6L/BBS4/PLK4/RALB/G3BP1/MSN/SNX30/PIP4K2A/CENPJ/PAN3/ARHGAP35/SNX7/ENTR1/CEP295/STX18/CEP120/TAPT1/PDCD6IP/HAP1/CEP135/ULK1/SNX18/MAPK15/SEPTIN9/DYNC1H1/SRC/HTT",56
"GO:1903053","regulation of extracellular matrix organization","43/7994","60/14868",0.00345136505381095,0.0327934638154298,0.0259112706604412,"CFLAR/PHLDB1/TNFRSF1B/CLASP1/FSCN1/FAP/LAMB1/ABL1/LAMA1/RGCC/TGFB1/AEBP1/TGFBR1/RIC1/MAD2L2/NID1/LRP1/SOX9/BMP2/COLGALT1/LAMC1/EMILIN1/PRDM5/RB1/PHLDB2/NOTCH1/FGFR4/DDR2/CLASP2/MELTF/SMAD3/AXIN2/ANTXR1/HAS2/LAMB2/EFEMP2/DAG1/LAMA2/SLC2A10/DPP4/DDR1/ZNF469/ITGB3",43
"GO:0032535","regulation of cellular component size","210/7994","344/14868",0.00349249776659717,0.0331315328669083,0.0261783909239205,"SEMA3F/ALS2/KDM1A/BAIAP2L1/IFRD1/PAFAH1B1/CDKL5/TENM1/SEMA3B/RUFY3/RB1CC1/CAPG/LIMA1/CYFIP2/PUM2/WNK1/NCKAP1/SLC12A2/NTN1/DIP2B/ARFGEF1/RHOA/GBA2/SLC12A3/NCK2/WDR1/MAP3K13/PICALM/CLNS1A/CDHR2/SEMA3A/SEMA3C/DLG1/PAK3/CAPZB/CARMIL1/DNM2/RAB21/GSK3B/ULK2/SSH1/CTTN/PPP1R15A/ADD1/ARHGAP28/P2RX7/PLEKHG2/NRCAM/SEMA6A/EZR/ABL1/NRP1/TRIOBP/ARHGAP5/ADNP/RAB11A/KCNN4/PTPRS/MEGF8/MEGF9/KANK1/CRACD/CLCN3/EIF4G2/SRF/SEMA5A/SLC12A7/WNT5A/TTL/SPTBN1/RTN4/FN1/CHMP3/DNAJC16/AKT3/CREB1/ABITRAM/PLS1/PIK3CA/SLC12A4/PREX1/RAB22A/MKKS/DSTN/CCR7/MACF1/VIL1/RNF6/CDC42EP1/BAIAP2L2/TMOD2/FGF13/SNX9/OLFM1/LATS1/MAP1B/SPART/LARS1/SWAP70/VAV3/FHOD3/EPHA7/MAP3K7/SEMA4F/LRRC8A/TMOD1/ARPC5L/FCHSD2/RDX/SEMA6D/TMOD3/SEMA7A/BBS4/SSH2/RPTOR/HAX1/RAB5A/GOLGA4/SLIT2/RASA1/DAAM2/ARHGAP18/SLC12A9/MSN/GSN/ADD3/ESAM/TWF1/FER/EPS8/PLEKHH2/SEMA3D/KCNMA1/BAG4/NCK1/DMTN/ARHGAP35/VAV2/AP2M1/ARPC5/DISC1/CDC42EP3/LMOD1/RYK/PRKCD/CCDC51/RICTOR/CDK5/WASHC5/ATP7A/CFL2/ARF6/TSC1/BORCS5/BORCS7/PEX11A/SEMA6B/SEMA4C/RAB3B/SIN3A/LRRC8E/PRKCE/LPAR3/PTEN/PPP1CA/WASHC2C/RARG/SSH3/OXSR1/SPTBN2/BAIAP2/ANO6/ULK1/FLII/GRB2/CDC42EP4/MYADM/NPM1/IST1/CAV3/NEB/KIRREL1/IQGAP3/PRKD1/EFNA5/SEMA4B/MAPT/SLIT1/TRPV2/SEMA4D/BLOC1S2/EVL/BORCS6/ABCB8/KANK2/SVIL/SPTAN1/FCHSD1/STK39/SMURF1/MTOR/CAPZA2/L1CAM/BMPR2/E2F4/AQP1/TWF2/FMN1/SHANK3/CYFIP1",210
"GO:0097191","extrinsic apoptotic signaling pathway","132/7994","209/14868",0.00357397133600874,0.033616757043732,0.0265617836343531,"GCLC/CFLAR/TNFRSF12A/BRCA1/ZMYND11/BID/SNAI2/HGF/RB1CC1/GCLM/FAS/TNFRSF1B/CTNNA1/KITLG/CASP8/ERBB3/SP100/HYAL2/FGFR3/FGFR1/PTPRC/DELE1/GSK3B/CYLD/GSTP1/CTTN/P2RX7/ICAM1/ITGA6/ZC3HC1/RFFL/TGFB2/JAK2/NRP1/MKNK2/TIMP3/HMOX1/STK4/SGK3/EYA1/SFRP1/STK3/IL7/TNFRSF10A/TGFB1/PPP2R1A/CAV1/SERPINE1/TGFBR1/UNC5B/RPS6KB1/MADD/KRT18/EYA4/ACVR1/HTRA2/BIRC6/PARK7/ARHGEF2/CASP8AP2/TNFAIP3/TNFRSF10B/BCL2L14/INHBA/BMP4/RBCK1/SGPP1/TRAF2/BCL2L2/PARP2/LGALS3/RAF1/SORT1/ACVR1B/ITM2C/SKIL/DAB2IP/RIPK1/YAP1/PPP2R1B/THBS1/ITGAV/BMPR1B/COL2A1/PDPK1/AKT1/BCL10/MCL1/PIK3R1/PHIP/TCF7L2/ITPRIP/BAG3/SH3RF1/FAIM/IL6R/LMNA/PEA15/ATF3/HIPK1/ZDHHC3/TLR3/NOS3/BEX3/SMAD3/PDIA3/FADD/FEM1B/AR/CRADD/KRT8/RNF34/BCL2L1/BCL2/PTEN/SCG2/PPP1CA/RELA/BOK/PIDD1/PAK2/SIAH2/RNF41/FAF1/WWOX/BLOC1S2/NF1/DAPK1/SRC/HTT/MLLT11/DDX3X",132
"GO:0007413","axonal fasciculation","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"EPHA3/NRCAM/NRP1/MEGF8/SEMA5A/RTN4/EPHA4/CNR1/EPHB2/CNTN4/TNFRSF21/NCAM2/ARHGAP35/CASP3/AMIGO1/EPHB3/NDN",17
"GO:0008334","histone mRNA metabolic process","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"UPF1/MTPAP/XRN1/NCBP2/CPSF3/TENT4B/NCBP1/SSB/ZNF473/ATM/LSM11/SLBP/TENT2/CPSF2/EXOSC10/DCP2/EXOSC4",17
"GO:0031445","regulation of heterochromatin formation","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"KDM1A/TPR/TRIM28/MORC2/PPHLN1/SETDB2/TET1/SAMD1/SETDB1/DYRK1A/TASOR/ATF7IP2/ATF7IP/RESF1/MPHOSPH8/PHF2/BAZ1A",17
"GO:0036120","cellular response to platelet-derived growth factor stimulus","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"FYN/CBL/PDGFRB/HDAC1/MTSS2/RDX/IQGAP1/CCNA2/ATP7A/MARS1/SYAP1/HAS2/PDGFD/CORO1B/YES1/SRC/ITGB3",17
"GO:0106030","neuron projection fasciculation","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"EPHA3/NRCAM/NRP1/MEGF8/SEMA5A/RTN4/EPHA4/CNR1/EPHB2/CNTN4/TNFRSF21/NCAM2/ARHGAP35/CASP3/AMIGO1/EPHB3/NDN",17
"GO:0120261","regulation of heterochromatin organization","17/7994","20/14868",0.00358308320425902,0.033616757043732,0.0265617836343531,"KDM1A/TPR/TRIM28/MORC2/PPHLN1/SETDB2/TET1/SAMD1/SETDB1/DYRK1A/TASOR/ATF7IP2/ATF7IP/RESF1/MPHOSPH8/PHF2/BAZ1A",17
"GO:0045778","positive regulation of ossification","36/7994","49/14868",0.00369781652814445,0.0346387303350674,0.0273692807230587,"GPM6B/ATP2B1/MEF2C/P2RX7/PTN/BMPR1A/ZBTB16/VDR/TENT5A/WNT5A/ACVR2B/ACVR1/ACVR2A/BMP4/BMP2/BMPR1B/FBN2/CCN1/OSR1/WNT4/PKDCC/NIPBL/ADGRV1/SMAD3/SLC20A2/ANO6/FAM20C/PTPN11/SETD2/SLC8A1/TMEM119/TOB2/RXRA/FZD9/BMPR2/RXRB",36
"GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process","27/7994","35/14868",0.00374320890774081,0.0350089773549991,0.0276618259326367,"HFE/WAC/USP14/N4BP1/SGTA/PARK7/UCHL5/GIPC1/USP9X/PHF20L1/TLK2/OGT/EIF3H/CCAR2/UBXN1/RYBP/CAMLG/MAP1A/PBK/USP38/MTM1/SMARCC1/USP7/FHIT/SVIP/STYX/BAG6",27
"GO:1903076","regulation of protein localization to plasma membrane","68/7994","101/14868",0.00377620424342907,0.0352478836776058,0.027850594231783,"ITGA3/ATP2C1/PRKCH/EPHA3/ATP2B4/WNK1/PPP2R5A/GRIPAP1/PICALM/DLG1/STX7/HECTD1/EZR/SORBS1/TREM2/ZDHHC8/PGRMC1/ZDHHC2/TGFB1/RAB11FIP2/SPTBN1/TMEM59/GBP1/RHOQ/PLS1/LYPLA1/LRP1/ACSL3/VIL1/ARHGEF16/PPFIA1/LGALS3/VPS4A/EPHB2/NUMB/MRAP2/PDPK1/CLTC/AKT1/EPHA2/PIK3R1/EGFR/ITGB1/LYPD1/ZDHHC7/PID1/ZDHHC5/MMP14/APPL1/RER1/LDLRAP1/AP2M1/CNST/PKDCC/PRKCI/CDK5/ARF6/STX3/AR/PTPN9/MRAP/STX8/KIF5B/PRKCE/BCL2L1/PRNP/LRRC15/DPP10",68
"GO:0048291","isotype switching to IgG isotypes","12/7994","13/14868",0.00380967049242177,0.0352478836776058,0.027850594231783,"FOXP3/MLH1/PTPRC/MSH2/CD40/IL27RA/PMS2/NDFIP1/SLC15A4/HSPD1/PAXIP1/ATAD5",12
"GO:0060623","regulation of chromosome condensation","12/7994","13/14868",0.00380967049242177,0.0352478836776058,0.027850594231783,"BAZ1B/NCAPD2/NCAPH2/NCAPG/NCAPH/H3-3B/SMC2/NCAPG2/MCPH1/NCAPD3/SMARCA5/H3-3A",12
"GO:1900095","regulation of dosage compensation by inactivation of X chromosome","12/7994","13/14868",0.00380967049242177,0.0352478836776058,0.027850594231783,"MSL3/PHF20/KAT8/KANSL3/KANSL1/RLIM/OGT/HCFC1/MSL2/MCRS1/MSL1/WDR5",12
"GO:0090066","regulation of anatomical structure size","269/7994","448/14868",0.00381449075867179,0.0352478836776058,0.027850594231783,"GCLC/SEMA3F/ALS2/KDM1A/BAIAP2L1/IFRD1/PAFAH1B1/CDKL5/TENM1/PIK3C2A/SEMA3B/RUFY3/CPS1/RB1CC1/GCLM/CAPG/LIMA1/FOXC1/CYFIP2/PUM2/ATG5/WNK1/NCKAP1/SLC12A2/NTN1/DIP2B/ARFGEF1/RHOA/ROCK1/GBA2/SLC12A3/ATP2B1/NCK2/WDR1/MAP3K13/PICALM/CLNS1A/CDHR2/SEMA3A/SEMA3C/DLG1/PAK3/CAPZB/CARMIL1/DNM2/RAB21/GSK3B/ULK2/SSH1/CTTN/PPP1R15A/MMP2/ADD1/ARHGAP28/P2RX7/PLEKHG2/NRCAM/SEMA6A/EZR/ABL1/NRP1/TRIOBP/ARHGAP5/ADNP/SNTA1/HTR2A/RAB11A/KCNN4/PTPRS/MEGF8/COMP/CAV1/PLOD3/MEGF9/KANK1/ACTA2/CRACD/CLCN3/SOD3/EIF4G2/SOD2/SRF/SEMA5A/SLC12A7/KAT2B/WNT5A/TTL/SPTBN1/RTN4/FN1/CHMP3/DNAJC16/AKT3/ECE1/CREB1/ABITRAM/PLS1/SCPEP1/PIK3CA/SLC12A4/PREX1/RAB22A/BBS2/MKKS/DSTN/CCR7/MACF1/VIL1/RNF6/CDC42EP1/BAIAP2L2/DOCK4/TMOD2/FGF13/SNX9/TRPM4/OLFM1/LATS1/MAP1B/GCH1/PER2/CHRM3/SPART/LARS1/SWAP70/VAV3/ROCK2/FHOD3/EPHA7/MAP3K7/SEMA4F/EDNRB/LRRC8A/TMOD1/ARPC5L/FCHSD2/RDX/SEMA6D/TMOD3/SEMA7A/RAP1GDS1/BBS4/SSH2/RPTOR/SOD1/HAX1/RAB5A/GOLGA4/AGTR1/SLIT2/RASA1/DAAM2/ARHGAP18/SLC12A9/MSN/DOCK5/GSN/HTR7/ADD3/ADM/ESAM/TWF1/EXT2/FER/EPS8/EDNRA/PLEKHH2/SEMA3D/KCNMA1/BAG4/NCK1/DMTN/ACE/ARHGAP35/CBS/VAV2/AP2M1/ARPC5/DISC1/CDC42EP3/LMOD1/ADORA1/RYK/PRKCD/CCDC51/RICTOR/NOS3/CDK5/WASHC5/ATP7A/CFL2/ARF6/TSC1/BORCS5/ARHGAP42/BORCS7/PEX11A/SEMA6B/BDKRB2/SEMA4C/RAB3B/SIN3A/NPR1/P2RY1/ADORA2B/LRRC8E/PRKCE/ASXL1/LPAR3/PTEN/PPP1CA/WASHC2C/RARG/SSH3/OXSR1/SPTBN2/ADCY6/BAIAP2/ZDHHC21/ANO6/ULK1/FLII/GRB2/HTR1D/CDC42EP4/MYADM/OXTR/F2R/NPM1/IST1/EXT1/CAV3/SLC8A1/NEB/KIRREL1/IQGAP3/ADRA2C/PRKD1/EFNA5/SEMA4B/PRKG1/MAPT/SLIT1/TRPV2/SEMA4D/LRRK2/UTS2B/BLOC1S2/EVL/BORCS6/HRH1/ABCB8/KANK2/SVIL/SPTAN1/FCHSD1/STK39/SMURF1/MTOR/CAPZA2/L1CAM/BMPR2/E2F4/ITGA1/AQP1/TWF2/FMN1/SHANK3/CYFIP1",269
"GO:0001704","formation of primary germ layer","77/7994","116/14868",0.00381757355706033,0.0352478836776058,0.027850594231783,"HOXA11/ITGA3/LAMA3/FOXC1/FGFR2/ITGA8/ITGB5/WNT11/MMP2/KIF16B/LAMB1/MMP15/AXIN1/EYA1/GPI/BMPR1A/DKK1/PRKAR1A/COL12A1/SRF/WNT5A/EPB41L5/ACVR1/ITGA4/FN1/WLS/MMP8/DUSP1/DUSP4/INHBA/SNAI1/BMP4/AHDC1/TWSG1/COL5A1/EXOC4/ITGB4/CDC73/COL4A2/KLF4/RTF1/DUSP5/ITGAV/LEF1/ARMC5/COL6A1/EPHA2/TBX19/COL8A1/HMGA2/ITGB1/EXT2/GJA1/FZD7/MMP14/ETS2/DUSP2/ITGA5/EOMES/ITGA2/LEO1/SMAD3/CTNNB1/ATOH8/MAP2K1/SMAD1/SMAD2/GRB2/SETD2/NF2/LAMB3/TXNRD1/CTR9/BMPR2/COL5A2/HSBP1/ITGB3",77
